종목명,현재가,기준월,배당금,수익률(%),배당성향(%)
550,,,,,
550,,,,,
550,,,,,
삼화왕관,"39,100",19.12,"1,350",3.45,29.69
"1,350",,,,,
"1,400",,,,,
"1,350",,,,,
디와이,"4,365",19.12,150,3.44,23.2
150,,,,,
120,,,,,
140,,,,,
S&T홀딩스,"14,600",19.12,500,3.42,12.12
400,,,,,
194,,,,,
340,,,,,
LG유플러스,"11,750",19.12,400,3.4,39.8
400,,,,,
400,,,,,
350,,,,,
대창단조,"32,550",19.12,"1,100",3.38,20.73
700,,,,,
700,,,,,
910,,,,,
세아제강지주,"44,450",19.12,"1,500",3.38,-197.27
"1,800",,,,,
"1,800",,,,,
"1,750",,,,,
롯데정밀화학,"50,700",19.12,"1,700",3.35,25.72
"1,700",,,,,
800,,,,,
300,,,,,
대림통상,"4,200",19.12,140,3.33,-18.3
150,,,,,
150,,,,,
150,,,,,
제주은행,"3,015",19.12,100,3.32,11.5
100,,,,,
99,,,,,
99,,,,,
한국수출포장,"18,100",19.12,600,3.32,13.32
600,,,,,
500,,,,,
500,,,,,
미창석유,"60,400",19.12,"2,000",3.31,17.28
"1,600",,,,,
"1,700",,,,,
"2,200",,,,,
국도화학,"45,500",19.12,"1,500",3.3,24.12
"1,500",,,,,
"1,500",,,,,
"1,200",,,,,
도화엔지니어링,"7,620",19.12,250,3.28,48.2
220,,,,,
190,,,,,
170,,,,,
우진아이엔에스,"7,620",19.12,250,3.28,88.09
400,,,,,
400,,,,,
350,,,,,
롯데하이마트,"30,500",19.12,"1,000",3.28,-23.63
"1,700",,,,,
"1,850",,,,,
500,,,,,
이리츠코크렙,"5,350",20.06,175,3.27,163.67
175,,,,,
293,,,,,
196,,,,,
제일연마,"6,750",19.12,220,3.26,25.79
200,,,,,
180,,,,,
160,,,,,
금호석유우,"47,650",19.12,"1,550",3.25,13.87
"1,400",,,,,
"1,050",,,,,
850,,,,,
한국공항,"30,800",19.12,"1,000",3.25,18.8
"1,000",,,,,
500,,,,,
500,,,,,
대림산업우,"41,600",19.12,"1,350",3.24,7.57
"1,750",,,,,
"1,050",,,,,
350,,,,,
성보화학,"4,160",19.12,135,3.24,-93.38
210,,,,,
572,,,,,
440,,,,,
DB손해보험,"46,750",19.12,"1,500",3.21,25.14
"2,000",,,,,
"2,300",,,,,
"1,650",,,,,
강남제비스코,"15,600",19.12,500,3.2,22.23
550,,,,,
550,,,,,
500,,,,,
CJ4우(전환),"58,600",19.12,"1,850",3.16,23.26
0,,,,,
0,,,,,
0,,,,,
세아홀딩스,"71,300",19.12,"2,250",3.16,29.19
"2,500",,,,,
"2,000",,,,,
"1,750",,,,,
진양폴리,"3,170",19.12,100,3.15,13.24
0,,,,,
0,,,,,
0,,,,,
율촌화학,"15,900",19.12,500,3.14,68.09
500,,,,,
500,,,,,
500,,,,,
케이탑리츠,779,19.12,24,3.13,20.72
19,,,,,
19,,,,,
18,,,,,
삼양홀딩스,"64,200",19.12,"2,000",3.12,50.19
"2,000",,,,,
"2,000",,,,,
"2,000",,,,,
롯데케미칼,"216,500",19.12,"6,700",3.1,32.12
"10,500",,,,,
"10,500",,,,,
"4,000",,,,,
NPC,"3,245",19.12,100,3.08,29.3
95,,,,,
90,,,,,
80,,,,,
미래에셋대우,"8,450",19.12,260,3.08,27.63
220,,,,,
220,,,,,
50,,,,,
삼영전자,"8,140",19.12,250,3.07,58.45
250,,,,,
250,,,,,
200,,,,,
호전실업,"8,250",19.12,250,3.03,72.15
250,,,,,
150,,,,,
0,,,,,
롯데칠성,"89,600",19.12,"2,700",3.01,-15.57
"2,700",,,,,
"3,300",,,,,
"1,000",,,,,
세방우,"6,040",19.12,180,2.98,72.68
180,,,,,
180,,,,,
180,,,,,
SK가스,"99,900",19.12,"2,971",2.97,16.71
"2,943",,,,,
"2,526",,,,,
"2,502",,,,,
NH프라임리츠,"4,275",20.05,127,2.97,94.8
-,,,,,
-,,,,,
-,,,,,
세아베스틸,"10,100",19.12,300,2.97,62.06
850,,,,,
900,,,,,
800,,,,,
쿠쿠홀딩스,"101,000",19.12,"3,000",2.97,23.48
"3,000",,,,,
"4,100",,,,,
"3,100",,,,,
금비,"57,300",19.09,"1,700",2.97,21.02
"1,700",,,,,
"1,500",,,,,
"1,800",,,,,
크라운제과,"8,450",19.12,250,2.96,17.55
250,,,,,
250,,,,,
-,,,,,
코웨이,"82,100",19.03,"2,400",2.92,52.05
"3,600",,,,,
"3,200",,,,,
"3,200",,,,,
한세실업,"17,400",19.12,500,2.87,"-7,871.26"
450,,,,,
450,,,,,
330,,,,,
에스원,"87,400",19.12,"2,500",2.86,57.64
"2,500",,,,,
"2,500",,,,,
"1,250",,,,,
태경비케이,"3,500",19.12,100,2.86,67.73
100,,,,,
100,,,,,
100,,,,,
KSS해운,"9,450",19.12,270,2.86,26.13
230,,,,,
230,,,,,
170,,,,,
넥센우,"2,985",19.12,85,2.85,7.61
80,,,,,
80,,,,,
80,,,,,
LG,"77,300",19.12,"2,200",2.85,35.82
"2,000",,,,,
"1,300",,,,,
"1,300",,,,,
계룡건설,"21,250",19.12,600,2.82,7.43
500,,,,,
0,,,,,
0,,,,,
대원강업,"4,085",19.12,115,2.82,44.49
115,,,,,
115,,,,,
125,,,,,
이노션,"53,300",19.12,"1,500",2.81,40.75
"1,500",,,,,
"1,000",,,,,
950,,,,,
현대홈쇼핑,"71,300",19.12,"2,000",2.81,27.2
"1,900",,,,,
"1,700",,,,,
"1,500",,,,,
현대제철,"26,800",19.12,750,2.8,575.59
750,,,,,
750,,,,,
750,,,,,
대한제강,"7,160",19.12,200,2.79,14.92
150,,,,,
300,,,,,
330,,,,,
삼진제약,"28,900",19.12,800,2.77,87.23
800,,,,,
800,,,,,
700,,,,,
현대그린푸드,"7,600",19.12,210,2.76,33.46
210,,,,,
80,,,,,
60,,,,,
삼성전자우,"51,300",19.12,"1,417",2.76,44.73
"1,417",,,,,
851,,,,,
571,,,,,
영보화학,"3,630",19.12,100,2.76,38.08
100,,,,,
100,,,,,
100,,,,,
영흥,"1,100",19.12,30,2.73,151.86
10,,,,,
10,,,,,
30,,,,,
한화시스템,"11,450",19.12,310,2.71,46.88
155,,,,,
"1,800",,,,,
0,,,,,
동부건설우,"27,900",19.12,750,2.69,25.82
350,,,,,
0,,,,,
0,,,,,
포스코강판,"14,950",19.12,400,2.68,89.59
500,,,,,
750,,,,,
"1,000",,,,,
영원무역홀딩스,"37,500",19.12,"1,000",2.67,9.59
800,,,,,
600,,,,,
500,,,,,
한화,"26,300",19.12,700,2.66,72.88
700,,,,,
600,,,,,
600,,,,,
BGF,"4,145",19.12,110,2.65,39.18
35,,,,,
200,,,,,
800,,,,,
농심홀딩스,"75,800",19.12,"2,000",2.64,25.36
"2,000",,,,,
"2,000",,,,,
"2,000",,,,,
가온전선,"22,800",19.12,600,2.63,43.16
600,,,,,
600,,,,,
600,,,,,
우진,"3,810",19.12,100,2.62,-17.02
0,,,,,
0,,,,,
220,,,,,
대림B&Co,"4,955",19.12,130,2.62,97.46
150,,,,,
150,,,,,
130,,,,,
유니드,"45,800",19.12,"1,200",2.62,15.79
"1,100",,,,,
"1,100",,,,,
"1,100",,,,,
JW생명과학,"19,100",19.12,500,2.62,36.09
500,,,,,
500,,,,,
300,,,,,
S&T모티브,"53,800",19.12,"1,400",2.6,799.3
"1,200",,,,,
"1,000",,,,,
"1,000",,,,,
한신공영,"13,550",19.12,350,2.58,5.64
375,,,,,
375,,,,,
250,,,,,
SK우,"196,000",19.12,"5,050",2.58,37.35
"5,050",,,,,
"4,050",,,,,
"3,750",,,,,
고려제강,"13,700",19.12,350,2.56,70.11
350,,,,,
315,,,,,
315,,,,,
하나투어,"39,250",19.12,"1,000",2.55,-137.86
"1,300",,,,,
"1,500",,,,,
"1,500",,,,,
에스엘,"15,750",19.12,400,2.54,21.65
400,,,,,
400,,,,,
260,,,,,
아모레G3우(전환),"32,900",19.12,834,2.54,22.98
0,,,,,
0,,,,,
0,,,,,
한양증권우,"15,800",19.12,400,2.53,20.96
300,,,,,
400,,,,,
400,,,,,
SK이노베이션우,"120,500",19.12,"3,050",2.53,-740.62
"8,050",,,,,
"8,050",,,,,
"6,450",,,,,
SK네트웍스,"4,750",19.12,120,2.53,-21.96
120,,,,,
120,,,,,
100,,,,,
삼광글라스,"39,650",19.12,"1,000",2.52,"-2,251.87"
750,,,,,
350,,,,,
750,,,,,
이건산업,"7,970",19.12,200,2.51,274.15
200,,,,,
250,,,,,
150,,,,,
삼화페인트,"4,985",19.12,125,2.51,74.95
125,,,,,
175,,,,,
300,,,,,
아세아시멘트,"59,800",19.12,"1,500",2.51,20.95
